图标,名称,来源版本,主题,图鉴编号,原始稀有度,原始价值,官方效果,官方描述,解锁条件,游戏稀有度（可编辑）,游戏价值（可编辑）,游戏效果（可编辑）,启用（可编辑）,备注（可编辑）,内部ID,图标URL
,萨米大“蜡烛”,IS1,刻俄柏的灰蕈迷境,12,NORMAL,8,希望+4,找一块原木，锯四条沟，你就获得了这个实用的临时营火。只有萨米人才叫这玩意“蜡烛”。,在多局游戏中累计招募总共20名干员（初始不计算）,,,,是,,relic_12,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_12.png
,兔子棚屋,IS1,刻俄柏的灰蕈迷境,13,RARE,12,希望+6,用废旧工业材料快速搭建的雷姆必拓棚屋，遮风挡雨还是做得到，但卡特斯人的风格过于明显了些。,,,,,是,,relic_13,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_13.png
,噪音引擎,IS1,刻俄柏的灰蕈迷境,14,SUPER_RARE,16,希望+8,哥伦比亚最新工业产品，在中小型城镇的移动拖车上非常常见，性价比很高。噪音很大。也太大了点。,,,,,是,,relic_14,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_14.png
,豌豆花盆,IS1,刻俄柏的灰蕈迷境,15,NORMAL,8,希望+2，可携带干员+1,造型古怪的哥伦比亚后院豌豆盆栽，既能装点室内又能收获作物，说不定还有其他功效。,在多局游戏中累计获得50希望,,,,是,,relic_15,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_15.png
,综合园艺成果,IS1,刻俄柏的灰蕈迷境,16,NORMAL,8,希望+2，可同时部署人数+1,原本可能是一盆放在公共区域的普通盆栽，经由调香师、铃兰、炎客等多位干员之手后，开始变得复杂起来。,在多局游戏中累计获得150希望,,,,是,,relic_16,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_16.png
,炭化烤肉棒,IS1,刻俄柏的灰蕈迷境,17,RARE,12,希望+4，可携带干员+1,因为某人糟糕的厨艺而被烤到整个焦黑的大块带骨肉，足以成为凶器。,,,,,是,,relic_17,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_17.png
,压缩糖砖,IS1,刻俄柏的灰蕈迷境,18,RARE,12,希望+4，可携带干员+1,这种压缩食品的制作工艺不明，坚硬无比，甚至可以砌墙。比普通的烹饪失败产物更具杀伤力。,,,,,是,,relic_18,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_18.png
,易爆建材箱,IS1,刻俄柏的灰蕈迷境,19,RARE,12,希望+4，可同时部署人数+1,罗德岛的便携型基础建材包，数量有限，弄丢了需要重新申请配发。请按说明书组装，否则热量包可能会爆炸。,剩余不小于8点希望时完成游戏结局,,,,是,,relic_19,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_19.png
,珠宝水果拼盘,IS1,刻俄柏的灰蕈迷境,20,SUPER_RARE,16,希望+6，可携带干员+2,萨尔贡的王储候选数量较多，这使得各个城邦每年的进贡都大有说法。不光是说站队的问题，宴会太密集也是麻烦。,拥有不小于60点以上希望上限时完成游戏结局,,,,是,,relic_20,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_20.png
,恐魔金像,IS1,刻俄柏的灰蕈迷境,23,RARE,12,立即获得源石锭+18,曾经被哥伦比亚黑心矿业公司与萨尔贡本地反抗军争抢的神秘金像。造型有些怪异。,,,,,是,,relic_23,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_23.png
,血钻,IS1,刻俄柏的灰蕈迷境,24,SUPER_RARE,16,立即获得源石锭+25,带有瑰丽血色光泽的昂贵宝石，产地在玻利瓦尔。背后充斥着残忍与不堪的往事。,,,,,是,,relic_24,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_24.png
,小财神雕像,IS1,刻俄柏的灰蕈迷境,25,SUPER_RARE,16,战斗掉落的源石锭+50%,不要再擅自把其他干员的照片贴上去了。,剩余不小于50源石锭时完成游戏结局,,,,是,,relic_25,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_25.png
,“嘎呜”挂饰,IS1,刻俄柏的灰蕈迷境,26,RARE,12,战斗掉落的源石锭+30%,少数不务正业的近卫局成员间流传的护身符，据说可以让奖金翻番。,剩余不小于15源石锭时完成游戏结局,,,,是,,relic_26,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_26.png
,米格鲁的饼干,IS1,刻俄柏的灰蕈迷境,27,NORMAL,8,立即进阶一个干员（不消耗希望）,你偷吃她饼干！,,,,,是,,relic_27,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_27.png
,一杯红茶,IS1,刻俄柏的灰蕈迷境,28,RARE,12,立即进阶两个干员（不消耗希望）,锡兰小姐的手艺颇受欢迎，训练结束后来一顿精致的下午茶也不是不可以。,在多局游戏中累计进阶总共10名干员（初始不计算）,,,,是,,relic_28,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_28.png
,熏黑的信号灯,IS1,刻俄柏的灰蕈迷境,42,NORMAL,8,战斗后有15%的几率额外掉落一张招募券（不叠加）,这是大部分雷姆必拓工人在荒野的夜色中传递信息的唯一方式。,,,,,是,,relic_42,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_42.png
,老式电报机,IS1,刻俄柏的灰蕈迷境,43,RARE,12,战斗后有25%的几率额外掉落一张招募券（不叠加）,一台老式电报机，全套设备体积庞大且笨重。,,,,,是,,relic_43,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_43.png
,无线通讯器,IS1,刻俄柏的灰蕈迷境,44,SUPER_RARE,16,战斗后有35%的几率额外掉落一张招募券（不叠加）,通过源石供能的野外远程通讯装置，侦察干员提醒，这类设备造价昂贵，工艺繁复，请爱护。,,,,,是,,relic_44,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_44.png
,手绘雪雉传单,IS1,刻俄柏的灰蕈迷境,46,RARE,12,每进入一个非战斗节点，获得源石锭+3,能不能有谁来请她吃顿饭？她饿了两天了。我说你直接去食堂就好了又不会不发口粮给你......,在多局游戏中累计进入100次非战斗格,,,,是,,relic_46,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_46.png
,真理的书单,IS1,刻俄柏的灰蕈迷境,47,NORMAL,8,战斗获得的经验值+20%,只是真理罗列的书。没法让你了解什么深奥的知识，但也许能教会你怎么做她喜欢吃的点心。,在多局游戏中累计胜利10场战斗,,,,是,,relic_47,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_47.png
,教官的爱鞭,IS1,刻俄柏的灰蕈迷境,48,RARE,12,战斗获得的经验值+30%,罗德岛的教官们一定都要用这种武器吗？！,在多局游戏中累计胜利50场战斗,,,,是,,relic_48,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_48.png
,咪波·运输型,IS1,刻俄柏的灰蕈迷境,49,NORMAL,8,初始部署费用+10,“大咪波碑”上挤满了它同胞的代号。它没有悲喜。它只想工作。,,,,,是,,relic_49,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_49.png
,萨卡兹监工哨子,IS1,刻俄柏的灰蕈迷境,50,RARE,12,初始部署费用+20,被某个萨卡兹佣兵偷走的哨子，原本属于一个萨卡兹工头。他们自己吹的时候也要捂上耳朵。,,,,,是,,relic_50,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_50.png
,忧伤的驮兽,IS1,刻俄柏的灰蕈迷境,51,SUPER_RARE,16,初始部署费用+30,你看到了一头忧伤的驮兽，不知为何，你也忧伤了起来。,通过第二层【蜜饼山脉】,,,,是,,relic_51,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_51.png
,奇怪的$墨镜,IS1,刻俄柏的灰蕈迷境,52,RARE,12,商店中购买道具所需源石锭-50%,戴上它，你会感到整个哥伦比亚音乐界的资本都在为你旋转。,在多局游戏中累计在商店消费200源石锭,,,,是,,relic_52,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_52.png
,破片地雷,IS1,刻俄柏的灰蕈迷境,53,RARE,12,每场战斗获得1点临时目标生命值,罗德岛上埋设好的破片地雷有两种既定作用，具体是哪种取决于设置它的人是谁。不·准·在·走·道·上·架·设·爆·炸·物。,在多局游戏中累计损失50点目标生命,,,,是,,relic_53,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_53.png
,《防身手册》,IS1,刻俄柏的灰蕈迷境,54,RARE,12,每场战斗获得2点临时目标生命值,全名是《拉特兰周边他国城邦及中间地带出行防身手册》，看的来，学不来。,在多局游戏中累计损失125点目标生命,,,,是,,relic_54,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_54.png
,芙蓉的健康餐,IS1,刻俄柏的灰蕈迷境,55,NORMAL,8,所有敌方单位的攻击力-7%,身体健康但是心理不太健康，只吃这样的东西就没心思作战了。,,,,,是,,relic_55,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_55.png
,牧兽的排泄物,IS1,刻俄柏的灰蕈迷境,56,NORMAL,8,所有敌方单位的攻击力-9%,这种东西可以削减敌人的士气。救命……,选择【指挥分队】完成游戏结局,,,,是,,relic_56,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_56.png
,锉刀,IS1,刻俄柏的灰蕈迷境,59,NORMAL,8,所有敌方单位的防御力-12%,偷偷把敌人的装备撬松。,,,,,是,,relic_59,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_59.png
,废铁陷阱,IS1,刻俄柏的灰蕈迷境,60,NORMAL,8,所有敌方单位的防御力-15%,泰拉荒野上名为“锈锤”的暴力组织经常使用的陷阱。“我们杀人，也杀动物。”,选择【集群分队】完成游戏结局,,,,是,,relic_60,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_60.png
,酸液源石虫,IS1,刻俄柏的灰蕈迷境,61,RARE,12,所有敌方单位的防御力-21%,战场冷知识：体型较小或幼年期的酸液源石虫可以用作杀伤性投掷物。不要......！,,,,,是,,relic_61,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_61.png
,无名诗集,IS1,刻俄柏的灰蕈迷境,63,NORMAL,8,所有敌方单位的生命-10%,“酒杯的碎屑在我皮肉里欢唱，鲜血自指缝间攀上脊索。饮下尖锐的晶莹光彩，脏腑随之璨烂流落。”,,,,,是,,relic_63,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_63.png
,劣化组织,IS1,刻俄柏的灰蕈迷境,64,NORMAL,8,所有敌方单位的生命-12%,在萨米以北的无尽冰原中找寻到的，十分古老的质密结缔组织。此项目立刻终止。立刻。,选择【后勤分队】完成游戏结局,,,,是,,relic_64,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_64.png
,小号黄色安全帽,IS1,刻俄柏的灰蕈迷境,67,NORMAL,8,所有我方单位的防御力+15%,这个黄色的聚合物安全帽在后脑勺处写着“安全生产”的字样。是给后面的人看的......？,,,,,是,,relic_67,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_67.png
,战壕沙袋,IS1,刻俄柏的灰蕈迷境,68,NORMAL,8,所有我方单位的防御力+18%,能够快速搭建起临时的防御工事。只是临时的。,选择【矛头分队】完成游戏结局,,,,是,,relic_68,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_68.png
,防割断纤维背心,IS1,刻俄柏的灰蕈迷境,69,RARE,12,所有我方单位的防御力+25%,维多利亚骑警配发的基本防具，很重。不知为什么，讯使说他在谢拉格似乎也见过类似的装备......,,,,,是,,relic_69,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_69.png
,《打架手册》,IS1,刻俄柏的灰蕈迷境,71,NORMAL,8,所有我方近战单位的攻击力+15%,记载了大量乌萨斯人的战吼，非常有气势。,,,,,是,,relic_71,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_71.png
,《独臂电锯》,IS1,刻俄柏的灰蕈迷境,72,NORMAL,8,所有我方近战单位的攻击力+18%,一本炎国武侠小说，讲述了独臂电锯客的复仇故事。似乎有十几部后续作品。,在源石锭恰好等于0时通过第三层【千条道路】,,,,是,,relic_72,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_72.png
,齿轮式外骨骼,IS1,刻俄柏的灰蕈迷境,73,RARE,12,所有我方近战单位的攻击力+25%,这种工业助力外骨骼装置可以让装备者省时省力干活……或者干点其他什么事情。他们没考虑过动力的事吗？,,,,,是,,relic_73,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_73.png
,锈蚀银枪,IS1,刻俄柏的灰蕈迷境,74,SUPER_RARE,16,所有我方近战单位的攻击力+35%,枪能刺穿群峦与湖泊，奔踏的响动能让浮云流散。烟火与广告让所有人都忘记了，他们依然还在。他们现身。,,,,,是,,relic_74,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_74.png
,液压气瓶,IS1,刻俄柏的灰蕈迷境,75,NORMAL,8,所有我方远程单位的攻击力+15%,压缩了惰性气体的压力容器。一定要注意压力计的读数是否正常。,,,,,是,,relic_75,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_75.png
,超弹力合金弹簧,IS1,刻俄柏的灰蕈迷境,76,NORMAL,8,所有我方远程单位的攻击力+18%,有着一般弹簧数倍弹力的高质量弹簧，不论是用在哪，小心，别伤到自己。,在不损失目标生命的情况下胜利战斗【锈锤之战】,,,,是,,relic_76,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_76.png
,难闻的治疗粉,IS1,刻俄柏的灰蕈迷境,79,NORMAL,8,所有我方单位的生命+20%,“干燥磨粉后的安德根与布洛克花可以用于外敷疗伤”——《罗德岛野外生存指南》,,,,,是,,relic_79,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_79.png
,白垩色治疗针,IS1,刻俄柏的灰蕈迷境,82,SUPER_RARE,16,所有我方单位的生命+50%,“…提高个体细胞全能性，治愈一切伤痛不适…”——塞雷娅桌上的说明手册,,,,,是,,relic_82,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_82.png
,便宜食用盐,IS1,刻俄柏的灰蕈迷境,83,NORMAL,8,所有敌方单位受到的物理伤害+15%,伤口上撒盐。,,,,,是,,relic_83,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_83.png
,辅助麻痹工具,IS1,刻俄柏的灰蕈迷境,84,NORMAL,8,所有敌方单位受到的物理伤害+18%,嘉维尔想通过“让病人痛到不能再痛”这种方法来止痛，这是不对的。,选择【堡垒战术分队】完成游戏结局,,,,是,,relic_84,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_84.png
,血腥链锯,IS1,刻俄柏的灰蕈迷境,85,RARE,12,所有敌方单位受到的物理伤害+25%,像是从恐怖片里带出来的道具，很吓人。煌昨天拿来切西瓜了。,,,,,是,,relic_85,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_85.png
,另一颗铆钉,IS1,刻俄柏的灰蕈迷境,86,SUPER_RARE,16,所有敌方单位受到的物理伤害+35%,随处可见的铆钉。“朋友，你又弄得满手油污？你啥时候磨平了双角？你为什么身上长石头？你怎么一句话也不说？”,,,,,是,,relic_86,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_86.png
,活性粉尘,IS1,刻俄柏的灰蕈迷境,87,NORMAL,8,所有敌方单位受到的法术伤害+20%,泰拉源石工业生产中的废弃物，很危险，请妥善处置。阿——嚏。,,,,,是,,relic_87,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_87.png
,源石射灯,IS1,刻俄柏的灰蕈迷境,88,NORMAL,8,所有敌方单位受到的法术伤害+23%,通过激发源石活性而获得照明效果的射灯，直接照射对人体有损害。,？？？,,,,是,,relic_88,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_88.png
,源石环境发生器,IS1,刻俄柏的灰蕈迷境,89,RARE,12,所有敌方单位受到的法术伤害+30%,通过提前布置源石晶体以确保法术小队完成任务，这种作战方式......,,,,,是,,relic_89,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_89.png
,无主的萨克斯,IS1,刻俄柏的灰蕈迷境,90,SUPER_RARE,16,所有敌方单位受到的法术伤害+40%,它的主人已死。有一位术师生前从未登上高塔，却能奏响整个天空。它等待，等待莱塔尼亚的一切技艺重归自由，它等待已久。,,,,,是,,relic_90,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_90.png
,手工小包,IS1,刻俄柏的灰蕈迷境,92,NORMAL,8,所有干员的初始技力+6,巫恋和柏喙各自负责制作了其中一部分。,,,,,是,,relic_92,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_92.png
,*一点*加班费,IS1,刻俄柏的灰蕈迷境,93,NORMAL,8,所有干员的初始技力+8,一小笔提升员工动力的成本费用，看得出来老板给得很不情愿，真的。所以这肯定不是企鹅物流的老板。,在目标生命值不小于15时通过第三层【千条道路】,,,,是,,relic_93,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_93.png
,可露希尔的怜悯,IS1,刻俄柏的灰蕈迷境,94,RARE,12,所有干员的初始技力+12,资源富足的时期才会出现的梦幻票劵，这时候可露希尔甚至允许干员们在她的商店尽情挥霍。其实根本不够尽情挥霍。,,,,,是,,relic_94,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_94.png
,“日光灯”,IS1,刻俄柏的灰蕈迷境,95,SUPER_RARE,16,所有干员的初始技力+18,我生下来就是拉特兰人。啊，不。我从会说话开始就是拉特兰人。,,,,,是,,relic_95,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_95.png
,丰蹄能量饮料,IS1,刻俄柏的灰蕈迷境,97,NORMAL,8,所有自然回复技能的技力恢复+0.25/s,“你以为拜松凭什么能骑自行车追上德克萨斯？”,选择【远程战术分队】完成游戏结局,,,,是,,relic_97,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_97.png
,辣椒老妈,IS1,刻俄柏的灰蕈迷境,98,RARE,12,所有自然回复技能的技力恢复+0.35/s,来自炎国某个西南移动城邦的特色饮料，口味辛辣，据说也是一种调料。,,,,,是,,relic_98,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_98.png
,脑力药片,IS1,刻俄柏的灰蕈迷境,99,SUPER_RARE,16,所有自然回复技能的技力恢复+0.5/s,沙滩伞制药公司开发的新型醒脑剂，无副作用，薄荷口味，无糖。,,,,,是,,relic_99,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_99.png
,迷幻的藏宝图,IS1,刻俄柏的灰蕈迷境,160,SUPER_RARE,16,立即获得源石锭+2，希望+1,有人把他梦中看见的名字写在了这张藏宝图上，依坐标来看这座“城市”好像是一片芭蕉树林？,完成游戏结局,,,,是,,relic_160,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_160.png
,染血的传单,IS1,刻俄柏的灰蕈迷境,161,SUPER_RARE,16,立即获得源石锭+22，并让探险走向不同的结局,满是童话和儿歌中才会出现的物品和地点，糖果城堡的彼端，甜蜜的风车男孩，这意味着什么？,完成游戏结局,,,,是,,relic_161,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_161.png
,辉煌工匠包,IS1,刻俄柏的灰蕈迷境,162,SUPER_RARE,16,所有近卫和狙击干员的攻击力+16%，所有辅助和术师干员的攻击力-8%,只有喝闷酒的时候，Mechanist才会想起自己有血有肉，而非某种物理性质的化身。,,,,,是,,relic_162,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_162.png
,Logos的骨笔,IS1,刻俄柏的灰蕈迷境,163,SUPER_RARE,16,所有辅助和术师干员的攻击力+16%，所有近卫和狙击干员的攻击力-8%,这个神经质的萨卡兹咒术大师落笔的每一划都属于源石技艺的范畴。观看是禁忌。查阅是禁忌。理解是禁忌。,,,,,是,,relic_163,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_163.png
,无限续杯瓶,IS1,刻俄柏的灰蕈迷境,164,SUPER_RARE,16,每进入一个非战斗节点，获得希望+1,只要把水倒进去，这个杯子就会产生无限的气泡快乐水，这简直是天才般的发明！你从来没有见过这种东西。,,,,,是,,relic_164,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_164.png
,左半边椰子壳,IS1,刻俄柏的灰蕈迷境,165,SUPER_RARE,16,所有干员的部署费用+6，但攻击力、防御力和生命值+8%,椰子壳上用工整的印刷体写着“战斗啊，朋友，如果不能直面生活的苦难，生命本身将失去意义。”,,,,,是,,relic_165,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_165.png
,右半边椰子壳,IS1,刻俄柏的灰蕈迷境,166,SUPER_RARE,16,所有干员的生命值-35%，但再部署时间-50%,椰子壳上用工整的印刷体写着“逃避是一种处事的手段，熟练使用逃避的技巧是通往成功路线的一条捷径。”,,,,,是,,relic_166,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_166.png
,倒转的怀表,IS1,刻俄柏的灰蕈迷境,167,SUPER_RARE,16,所有敌方单位的攻击速度-15,一个锈迹斑斑，材质不明而且倒着转的怀表，你没有找到上发条的地方，也不知道怎么拆开他，非常古怪。,,,,,是,,relic_167,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_167.png
,“手铳”,IS1,刻俄柏的灰蕈迷境,168,SUPER_RARE,16,所有我方单位的部署费用-3，攻击力、防御力、生命值+5%，并让探险走向不同的结局,已经白骨化的断手紧握着这把大口径火铳，它属于谁？断手的主人还好么？这背后到底发生了什么？,？？？,,,,是,,relic_168,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_168.png
,沉重的铁皮箱,IS1,刻俄柏的灰蕈迷境,169,SUPER_RARE,16,所有我方单位的部署费用+2,这个厚实，沉重的铁皮箱严重影响了你的行程，但是不知为何你不想丢弃它，或许你太想知道里面装了什么。,？？？,,,,是,,relic_169,https://prts.wiki/index.php?title=Special:Redirect/file/%E6%94%B6%E8%97%8F%E5%93%81_169.png
