canonical_key,is,theme,topic_id,order_id,group_id,category,relic_id,name,official_rarity,official_value,effect,description,unlock,icon_id,icon_url,local_icon,is_special,enroll_id,game_rarity,game_value,game_effect,enabled,notes,params_json,mechanics_json,raw_json
"萨米大""蜡烛""",IS1,刻俄柏的灰蕈迷境,legacy_roguelike,12,,,relic_12,萨米大“蜡烛”,NORMAL,8,希望+4,找一块原木，锯四条沟，你就获得了这个实用的临时营火。只有萨米人才叫这玩意“蜡烛”。,在多局游戏中累计招募总共20名干员（初始不计算）,relic_12,,,否,,,,,是,,,,"{""id"":""relic_12"",""name"":""萨米大“蜡烛”"",""description"":""找一块原木，锯四条沟，你就获得了这个实用的临时营火。只有萨米人才叫这玩意“蜡烛”。"",""usage"":""希望+4"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_12"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":12,""unlockCond"":""StableRecruitChar"",""unlockCondDesc"":""在多局游戏中累计招募总共20名干员（初始不计算）"",""unlockCondParams"":[""20""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":20}}"
兔子棚屋,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,13,,,relic_13,兔子棚屋,RARE,12,希望+6,用废旧工业材料快速搭建的雷姆必拓棚屋，遮风挡雨还是做得到，但卡特斯人的风格过于明显了些。,,relic_13,,,否,,,,,是,,,,"{""id"":""relic_13"",""name"":""兔子棚屋"",""description"":""用废旧工业材料快速搭建的雷姆必拓棚屋，遮风挡雨还是做得到，但卡特斯人的风格过于明显了些。"",""usage"":""希望+6"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_13"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":13,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
噪音引擎,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,14,,,relic_14,噪音引擎,SUPER_RARE,16,希望+8,哥伦比亚最新工业产品，在中小型城镇的移动拖车上非常常见，性价比很高。噪音很大。也太大了点。,,relic_14,,,否,,,,,是,,,,"{""id"":""relic_14"",""name"":""噪音引擎"",""description"":""哥伦比亚最新工业产品，在中小型城镇的移动拖车上非常常见，性价比很高。噪音很大。也太大了点。"",""usage"":""希望+8"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_14"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":14,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
豌豆花盆,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,15,,,relic_15,豌豆花盆,NORMAL,8,希望+2，可携带干员+1,造型古怪的哥伦比亚后院豌豆盆栽，既能装点室内又能收获作物，说不定还有其他功效。,在多局游戏中累计获得50希望,relic_15,,,否,,,,,是,,,,"{""id"":""relic_15"",""name"":""豌豆花盆"",""description"":""造型古怪的哥伦比亚后院豌豆盆栽，既能装点室内又能收获作物，说不定还有其他功效。"",""usage"":""希望+2，可携带干员+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_15"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":15,""unlockCond"":""StableGainResource"",""unlockCondDesc"":""在多局游戏中累计获得50希望"",""unlockCondParams"":[""population"",""50""],""stableUnlockCond"":{""unlockCondDetail"":""population"",""unlockCnt"":50}}"
综合园艺成果,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,16,,,relic_16,综合园艺成果,NORMAL,8,希望+2，可同时部署人数+1,原本可能是一盆放在公共区域的普通盆栽，经由调香师、铃兰、炎客等多位干员之手后，开始变得复杂起来。,在多局游戏中累计获得150希望,relic_16,,,否,,,,,是,,,,"{""id"":""relic_16"",""name"":""综合园艺成果"",""description"":""原本可能是一盆放在公共区域的普通盆栽，经由调香师、铃兰、炎客等多位干员之手后，开始变得复杂起来。"",""usage"":""希望+2，可同时部署人数+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_16"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":16,""unlockCond"":""StableGainResource"",""unlockCondDesc"":""在多局游戏中累计获得150希望"",""unlockCondParams"":[""population"",""150""],""stableUnlockCond"":{""unlockCondDetail"":""population"",""unlockCnt"":150}}"
炭化烤肉棒,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,17,,,relic_17,炭化烤肉棒,RARE,12,希望+4，可携带干员+1,因为某人糟糕的厨艺而被烤到整个焦黑的大块带骨肉，足以成为凶器。,,relic_17,,,否,,,,,是,,,,"{""id"":""relic_17"",""name"":""炭化烤肉棒"",""description"":""因为某人糟糕的厨艺而被烤到整个焦黑的大块带骨肉，足以成为凶器。"",""usage"":""希望+4，可携带干员+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_17"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":17,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
压缩糖砖,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,18,,,relic_18,压缩糖砖,RARE,12,希望+4，可携带干员+1,这种压缩食品的制作工艺不明，坚硬无比，甚至可以砌墙。比普通的烹饪失败产物更具杀伤力。,,relic_18,,,否,,,,,是,,,,"{""id"":""relic_18"",""name"":""压缩糖砖"",""description"":""这种压缩食品的制作工艺不明，坚硬无比，甚至可以砌墙。比普通的烹饪失败产物更具杀伤力。"",""usage"":""希望+4，可携带干员+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_18"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":18,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
易爆建材箱,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,19,,,relic_19,易爆建材箱,RARE,12,希望+4，可同时部署人数+1,罗德岛的便携型基础建材包，数量有限，弄丢了需要重新申请配发。请按说明书组装，否则热量包可能会爆炸。,剩余不小于8点希望时完成游戏结局,relic_19,,,否,,,,,是,,,,"{""id"":""relic_19"",""name"":""易爆建材箱"",""description"":""罗德岛的便携型基础建材包，数量有限，弄丢了需要重新申请配发。请按说明书组装，否则热量包可能会爆炸。"",""usage"":""希望+4，可同时部署人数+1"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_19"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":19,""unlockCond"":""CompleteGameCondition3"",""unlockCondDesc"":""剩余不小于8点希望时完成游戏结局"",""unlockCondParams"":[""1"",""8""],""stableUnlockCond"":null}"
珠宝水果拼盘,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,20,,,relic_20,珠宝水果拼盘,SUPER_RARE,16,希望+6，可携带干员+2,萨尔贡的王储候选数量较多，这使得各个城邦每年的进贡都大有说法。不光是说站队的问题，宴会太密集也是麻烦。,拥有不小于60点以上希望上限时完成游戏结局,relic_20,,,否,,,,,是,,,,"{""id"":""relic_20"",""name"":""珠宝水果拼盘"",""description"":""萨尔贡的王储候选数量较多，这使得各个城邦每年的进贡都大有说法。不光是说站队的问题，宴会太密集也是麻烦。"",""usage"":""希望+6，可携带干员+2"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_20"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":20,""unlockCond"":""CompleteGameCondition4"",""unlockCondDesc"":""拥有不小于60点以上希望上限时完成游戏结局"",""unlockCondParams"":[""1"",""60""],""stableUnlockCond"":null}"
恐魔金像,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,23,,,relic_23,恐魔金像,RARE,12,立即获得源石锭+18,曾经被哥伦比亚黑心矿业公司与萨尔贡本地反抗军争抢的神秘金像。造型有些怪异。,,relic_23,,,否,,,,,是,,,,"{""id"":""relic_23"",""name"":""恐魔金像"",""description"":""曾经被哥伦比亚黑心矿业公司与萨尔贡本地反抗军争抢的神秘金像。造型有些怪异。"",""usage"":""立即获得源石锭+18"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_23"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":23,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
血钻,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,24,,,relic_24,血钻,SUPER_RARE,16,立即获得源石锭+25,带有瑰丽血色光泽的昂贵宝石，产地在玻利瓦尔。背后充斥着残忍与不堪的往事。,,relic_24,,,否,,,,,是,,,,"{""id"":""relic_24"",""name"":""血钻"",""description"":""带有瑰丽血色光泽的昂贵宝石，产地在玻利瓦尔。背后充斥着残忍与不堪的往事。"",""usage"":""立即获得源石锭+25"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_24"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":24,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
小财神雕像,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,25,,,relic_25,小财神雕像,SUPER_RARE,16,战斗掉落的源石锭+50%,不要再擅自把其他干员的照片贴上去了。,剩余不小于50源石锭时完成游戏结局,relic_25,,,否,,,,,是,,,,"{""id"":""relic_25"",""name"":""小财神雕像"",""description"":""不要再擅自把其他干员的照片贴上去了。"",""usage"":""战斗掉落的源石锭+50%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_25"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":25,""unlockCond"":""CompleteGameCondition5"",""unlockCondDesc"":""剩余不小于50源石锭时完成游戏结局"",""unlockCondParams"":[""1"",""50""],""stableUnlockCond"":null}"
"""嘎呜""挂饰",IS1,刻俄柏的灰蕈迷境,legacy_roguelike,26,,,relic_26,“嘎呜”挂饰,RARE,12,战斗掉落的源石锭+30%,少数不务正业的近卫局成员间流传的护身符，据说可以让奖金翻番。,剩余不小于15源石锭时完成游戏结局,relic_26,,,否,,,,,是,,,,"{""id"":""relic_26"",""name"":""“嘎呜”挂饰"",""description"":""少数不务正业的近卫局成员间流传的护身符，据说可以让奖金翻番。"",""usage"":""战斗掉落的源石锭+30%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_26"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":26,""unlockCond"":""CompleteGameCondition5"",""unlockCondDesc"":""剩余不小于15源石锭时完成游戏结局"",""unlockCondParams"":[""1"",""15""],""stableUnlockCond"":null}"
米格鲁的饼干,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,27,,,relic_27,米格鲁的饼干,NORMAL,8,立即进阶一个干员（不消耗希望）,你偷吃她饼干！,,relic_27,,,否,,,,,是,,,,"{""id"":""relic_27"",""name"":""米格鲁的饼干"",""description"":""你偷吃她饼干！"",""usage"":""立即进阶一个干员（不消耗希望）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_27"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":27,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
一杯红茶,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,28,,,relic_28,一杯红茶,RARE,12,立即进阶两个干员（不消耗希望）,锡兰小姐的手艺颇受欢迎，训练结束后来一顿精致的下午茶也不是不可以。,在多局游戏中累计进阶总共10名干员（初始不计算）,relic_28,,,否,,,,,是,,,,"{""id"":""relic_28"",""name"":""一杯红茶"",""description"":""锡兰小姐的手艺颇受欢迎，训练结束后来一顿精致的下午茶也不是不可以。"",""usage"":""立即进阶两个干员（不消耗希望）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_28"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":28,""unlockCond"":""StableUpgradeChar"",""unlockCondDesc"":""在多局游戏中累计进阶总共10名干员（初始不计算）"",""unlockCondParams"":[""10""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":10}}"
熏黑的信号灯,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,42,,,relic_42,熏黑的信号灯,NORMAL,8,战斗后有15%的几率额外掉落一张招募券（不叠加）,这是大部分雷姆必拓工人在荒野的夜色中传递信息的唯一方式。,,relic_42,,,否,,,,,是,,,,"{""id"":""relic_42"",""name"":""熏黑的信号灯"",""description"":""这是大部分雷姆必拓工人在荒野的夜色中传递信息的唯一方式。"",""usage"":""战斗后有15%的几率额外掉落一张招募券（不叠加）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_42"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":42,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
老式电报机,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,43,,,relic_43,老式电报机,RARE,12,战斗后有25%的几率额外掉落一张招募券（不叠加）,一台老式电报机，全套设备体积庞大且笨重。,,relic_43,,,否,,,,,是,,,,"{""id"":""relic_43"",""name"":""老式电报机"",""description"":""一台老式电报机，全套设备体积庞大且笨重。"",""usage"":""战斗后有25%的几率额外掉落一张招募券（不叠加）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_43"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":43,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
无线通讯器,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,44,,,relic_44,无线通讯器,SUPER_RARE,16,战斗后有35%的几率额外掉落一张招募券（不叠加）,通过源石供能的野外远程通讯装置，侦察干员提醒，这类设备造价昂贵，工艺繁复，请爱护。,,relic_44,,,否,,,,,是,,,,"{""id"":""relic_44"",""name"":""无线通讯器"",""description"":""通过源石供能的野外远程通讯装置，侦察干员提醒，这类设备造价昂贵，工艺繁复，请爱护。"",""usage"":""战斗后有35%的几率额外掉落一张招募券（不叠加）"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_44"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":44,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
手绘雪雉传单,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,46,,,relic_46,手绘雪雉传单,RARE,12,每进入一个非战斗节点，获得源石锭+3,能不能有谁来请她吃顿饭？她饿了两天了。我说你直接去食堂就好了又不会不发口粮给你......,在多局游戏中累计进入100次非战斗格,relic_46,,,否,,,,,是,,,,"{""id"":""relic_46"",""name"":""手绘雪雉传单"",""description"":""能不能有谁来请她吃顿饭？她饿了两天了。我说你直接去食堂就好了又不会不发口粮给你......"",""usage"":""每进入一个非战斗节点，获得源石锭+3"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_46"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":46,""unlockCond"":""StableIntoNodeNoBattle"",""unlockCondDesc"":""在多局游戏中累计进入100次非战斗格"",""unlockCondParams"":[""100""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":100}}"
真理的书单,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,47,,,relic_47,真理的书单,NORMAL,8,战斗获得的经验值+20%,只是真理罗列的书。没法让你了解什么深奥的知识，但也许能教会你怎么做她喜欢吃的点心。,在多局游戏中累计胜利10场战斗,relic_47,,,否,,,,,是,,,,"{""id"":""relic_47"",""name"":""真理的书单"",""description"":""只是真理罗列的书。没法让你了解什么深奥的知识，但也许能教会你怎么做她喜欢吃的点心。"",""usage"":""战斗获得的经验值+20%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_47"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":47,""unlockCond"":""StableCompleteBattle"",""unlockCondDesc"":""在多局游戏中累计胜利10场战斗"",""unlockCondParams"":[""10""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":10}}"
教官的爱鞭,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,48,,,relic_48,教官的爱鞭,RARE,12,战斗获得的经验值+30%,罗德岛的教官们一定都要用这种武器吗？！,在多局游戏中累计胜利50场战斗,relic_48,,,否,,,,,是,,,,"{""id"":""relic_48"",""name"":""教官的爱鞭"",""description"":""罗德岛的教官们一定都要用这种武器吗？！"",""usage"":""战斗获得的经验值+30%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_48"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":48,""unlockCond"":""StableCompleteBattle"",""unlockCondDesc"":""在多局游戏中累计胜利50场战斗"",""unlockCondParams"":[""50""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":50}}"
咪波·运输型,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,49,,,relic_49,咪波·运输型,NORMAL,8,初始部署费用+10,“大咪波碑”上挤满了它同胞的代号。它没有悲喜。它只想工作。,,relic_49,,,否,,,,,是,,,,"{""id"":""relic_49"",""name"":""咪波·运输型"",""description"":""“大咪波碑”上挤满了它同胞的代号。它没有悲喜。它只想工作。"",""usage"":""初始部署费用+10"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_49"",""type"":""RELIC"",""rarity"":""NORMAL"",""value"":8,""sortId"":49,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
萨卡兹监工哨子,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,50,,,relic_50,萨卡兹监工哨子,RARE,12,初始部署费用+20,被某个萨卡兹佣兵偷走的哨子，原本属于一个萨卡兹工头。他们自己吹的时候也要捂上耳朵。,,relic_50,,,否,,,,,是,,,,"{""id"":""relic_50"",""name"":""萨卡兹监工哨子"",""description"":""被某个萨卡兹佣兵偷走的哨子，原本属于一个萨卡兹工头。他们自己吹的时候也要捂上耳朵。"",""usage"":""初始部署费用+20"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_50"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":50,""unlockCond"":null,""unlockCondDesc"":null,""unlockCondParams"":[],""stableUnlockCond"":null}"
忧伤的驮兽,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,51,,,relic_51,忧伤的驮兽,SUPER_RARE,16,初始部署费用+30,你看到了一头忧伤的驮兽，不知为何，你也忧伤了起来。,通过第二层【蜜饼山脉】,relic_51,,,否,,,,,是,,,,"{""id"":""relic_51"",""name"":""忧伤的驮兽"",""description"":""你看到了一头忧伤的驮兽，不知为何，你也忧伤了起来。"",""usage"":""初始部署费用+30"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_51"",""type"":""RELIC"",""rarity"":""SUPER_RARE"",""value"":16,""sortId"":51,""unlockCond"":""ZoneEndHPBigger"",""unlockCondDesc"":""通过第二层【蜜饼山脉】"",""unlockCondParams"":[""zone_2"",""0""],""stableUnlockCond"":null}"
奇怪的$墨镜,IS1,刻俄柏的灰蕈迷境,legacy_roguelike,52,,,relic_52,奇怪的$墨镜,RARE,12,商店中购买道具所需源石锭-50%,戴上它，你会感到整个哥伦比亚音乐界的资本都在为你旋转。,在多局游戏中累计在商店消费200源石锭,relic_52,,,否,,,,,是,,,,"{""id"":""relic_52"",""name"":""奇怪的$墨镜"",""description"":""戴上它，你会感到整个哥伦比亚音乐界的资本都在为你旋转。"",""usage"":""商店中购买道具所需源石锭-50%"",""obtainApproach"":""在集成战略模式中获得"",""iconId"":""relic_52"",""type"":""RELIC"",""rarity"":""RARE"",""value"":12,""sortId"":52,""unlockCond"":""StableShopCostGold"",""unlockCondDesc"":""在多局游戏中累计在商店消费200源石锭"",""unlockCondParams"":[""200""],""stableUnlockCond"":{""unlockCondDetail"":"""",""unlockCnt"":200}}"
