name,current_is1_pool,item_kind,classification_reason,official_rarity,game_rarity,game_value,demand_multiplier,grid_size,size_review,is,theme,order_id,is1_order_id,effect,game_effect,description,unlock,apex_rank,apex_selected,enabled,notes,relic_id,local_icon
破烂帐篷,是,收集品,希望（当前系统无对应）,NORMAL,普通,2300,1.45x,2x2,否,IS1,刻俄柏的灰蕈迷境,11,11,希望+4,,用木棍和篷布搭建的帐篷，感觉风一刮就会塌掉。材料都是现找的。,,,否,是,,relic_11,
萨米大“蜡烛”,是,收集品,希望（当前系统无对应）,NORMAL,普通,1600,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,12,12,希望+4,,找一块原木，锯四条沟，你就获得了这个实用的临时营火。只有萨米人才叫这玩意“蜡烛”。,在多局游戏中累计招募总共20名干员（初始不计算）,,否,是,,relic_12,
兔子棚屋,是,收集品,希望（当前系统无对应）,RARE,稀有,3900,1.60x,1x1,否,IS1,刻俄柏的灰蕈迷境,13,13,希望+6,,用废旧工业材料快速搭建的雷姆必拓棚屋，遮风挡雨还是做得到，但卡特斯人的风格过于明显了些。,,,否,是,,relic_13,
噪音引擎,是,收集品,希望（当前系统无对应）,SUPER_RARE,珍贵,11700,1.80x,2x2,否,IS1,刻俄柏的灰蕈迷境,14,14,希望+8,,哥伦比亚最新工业产品，在中小型城镇的移动拖车上非常常见，性价比很高。噪音很大。也太大了点。,,,否,是,,relic_14,
豌豆花盆,是,收集品,携带/编队（当前系统无对应）,NORMAL,普通,2300,1.45x,2x2,否,IS1,刻俄柏的灰蕈迷境,15,15,希望+2，可携带干员+1,,造型古怪的哥伦比亚后院豌豆盆栽，既能装点室内又能收获作物，说不定还有其他功效。,在多局游戏中累计获得50希望,,否,是,,relic_15,
综合园艺成果,是,收集品,希望（当前系统无对应）,NORMAL,普通,2300,1.45x,2x2,否,IS1,刻俄柏的灰蕈迷境,16,16,希望+2，可同时部署人数+1,,原本可能是一盆放在公共区域的普通盆栽，经由调香师、铃兰、炎客等多位干员之手后，开始变得复杂起来。,在多局游戏中累计获得150希望,,否,是,,relic_16,
炭化烤肉棒,是,收集品,携带/编队（当前系统无对应）,RARE,稀有,3900,1.60x,1x1,否,IS1,刻俄柏的灰蕈迷境,17,17,希望+4，可携带干员+1,,因为某人糟糕的厨艺而被烤到整个焦黑的大块带骨肉，足以成为凶器。,,,否,是,,relic_17,
压缩糖砖,是,收集品,携带/编队（当前系统无对应）,RARE,稀有,3900,1.60x,1x1,否,IS1,刻俄柏的灰蕈迷境,18,18,希望+4，可携带干员+1,,这种压缩食品的制作工艺不明，坚硬无比，甚至可以砌墙。比普通的烹饪失败产物更具杀伤力。,,,否,是,,relic_18,
易爆建材箱,是,收集品,希望（当前系统无对应）,RARE,稀有,4400,1.60x,2x1,否,IS1,刻俄柏的灰蕈迷境,19,19,希望+4，可同时部署人数+1,,罗德岛的便携型基础建材包，数量有限，弄丢了需要重新申请配发。请按说明书组装，否则热量包可能会爆炸。,剩余不小于8点希望时完成游戏结局,,否,是,,relic_19,
珠宝水果拼盘,是,收集品,携带/编队（当前系统无对应）,SUPER_RARE,珍贵,9700,1.80x,2x1,否,IS1,刻俄柏的灰蕈迷境,20,20,希望+6，可携带干员+2,,萨尔贡的王储候选数量较多，这使得各个城邦每年的进贡都大有说法。不光是说站队的问题，宴会太密集也是麻烦。,拥有不小于60点以上希望上限时完成游戏结局,,否,是,,relic_20,
赤金的远征,是,收集品,携带/编队（当前系统无对应）,SUPER_RARE,珍贵,7000,1.80x,1x1,是,IS7,沉沦者的黑流树海,022,21,希望+4，可携带干员+1，可同时部署人数+1,,君王自荒地出发，集市在她的裙下如春芽萌发，财富之路连通高山密林，直到她消失在西方浪涛的边崖。——萨尔贡古老童话,在多局游戏中累计获得150希望,,否,是,,rogue_6_relic_legacy_44,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_44.png
古旧钱币,是,收集品,局内货币（改为卖钱物）,NORMAL,普通,1400,1.45x,1x1,是,IS6,岁的界园志异,031,22,立即获得源石锭+10,,生锈的古代钱币，已经无法辨认年代，这东西在泰拉荒地上随处可见。,,,否,是,,rogue_5_relic_legacy_110,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_110.png
恐魔金像,是,收集品,局内货币（改为卖钱物）,RARE,珍贵,8000,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,23,23,立即获得源石锭+18,,曾经被哥伦比亚黑心矿业公司与萨尔贡本地反抗军争抢的神秘金像。造型有些怪异。,,,否,是,,relic_23,
血钻,是,收集品,局内货币（改为卖钱物）,SUPER_RARE,绝世,13400,2.00x,1x1,否,IS1,刻俄柏的灰蕈迷境,24,24,立即获得源石锭+25,,带有瑰丽血色光泽的昂贵宝石，产地在玻利瓦尔。背后充斥着残忍与不堪的往事。,,13,否,是,,relic_24,
小财神雕像,是,收集品,局内货币（改为卖钱物）,SUPER_RARE,绝世,27500,2.00x,2x2,否,IS1,刻俄柏的灰蕈迷境,25,25,战斗掉落的源石锭+50%,,不要再擅自把其他干员的照片贴上去了。,剩余不小于50源石锭时完成游戏结局,2,否,是,,relic_25,
“嘎呜”挂饰,是,收集品,局内货币（改为卖钱物）,RARE,珍贵,9300,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,26,26,战斗掉落的源石锭+30%,,少数不务正业的近卫局成员间流传的护身符，据说可以让奖金翻番。,剩余不小于15源石锭时完成游戏结局,,否,是,,relic_26,
米格鲁的饼干,是,收集品,希望（当前系统无对应）,NORMAL,普通,1600,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,27,27,立即进阶一个干员（不消耗希望）,,你偷吃她饼干！,,,否,是,,relic_27,
一杯红茶,是,收集品,希望（当前系统无对应）,RARE,稀有,3700,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,28,28,立即进阶两个干员（不消耗希望）,,锡兰小姐的手艺颇受欢迎，训练结束后来一顿精致的下午茶也不是不可以。,在多局游戏中累计进阶总共10名干员（初始不计算）,,否,是,,relic_28,
古旧铸物,是,收集品,希望（当前系统无对应）,SUPER_RARE,珍贵,6800,1.80x,1x1,是,IS6,岁的界园志异,166,29,立即进阶三个干员（不消耗希望）,,“天有洪炉，地生五金”......虽然可以用来成就各种事业，却没人知道具体原理。,在多局游戏中累计进阶总共35名干员,,否,是,,rogue_5_relic_legacy_11,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_legacy_11.png
地区行动方案,是,收集品,希望（当前系统无对应）,RARE,稀有,2900,1.60x,1x1,是,IS4,探索者的银凇止境,015,30,招募4星干员的希望消耗-2,,罗德岛在各个重要的枢纽区域都设有专门的办事处。信使们努力在这片大地上勉强织了一张易碎的网。,,,否,是,,rogue_3_relic_legacy_54,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_54.png
全局作战文件,是,收集品,希望（当前系统无对应）,RARE,稀有,3400,1.60x,2x1,否,IS4,探索者的银凇止境,016,31,招募5星干员的希望消耗-2,,陆上行舟，如履薄冰。记得要培养自己的大局观。,,,否,是,,rogue_3_relic_legacy_55,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_55.png
人事部密信,是,收集品,希望（当前系统无对应）,SUPER_RARE,珍贵,5800,1.80x,1x1,是,IS5,萨卡兹的无终奇语,203,32,招募6星干员的希望消耗-2，招募时有概率出现全部随机直升的6星干员,,“■■■给你的？哦那没事了。”,,,否,是,,rogue_4_relic_legacy_187,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_4/rogue_4_relic_legacy_187.png
一份演讲稿,是,收集品,希望（当前系统无对应）,SUPER_RARE,珍贵,6400,1.80x,1x1,是,IS4,探索者的银凇止境,188,33,招募所有干员的希望消耗-2,,她有点紧张，有点担心，却一直都很坚定。话筒打开时，她两只长长的耳朵稍稍晃动了一下。,在多局游戏中累计招募总共100名干员,,否,是,,rogue_3_relic_legacy_57,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_3/rogue_3_relic_legacy_57.png
突击协议扩充,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,900,1.45x,1x1,是,IS2,傀影与猩红孤钻,037,34,商店和战斗掉落的先锋招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名先锋干员胜利一场战斗,,否,是,,rogue_1_relic_r37,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r37.png
突击协议增援,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,1000,1.45x,1x1,是,IS2,傀影与猩红孤钻,038,35,商店和战斗掉落的近卫招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名近卫干员胜利一场战斗,,否,是,,rogue_1_relic_r38,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r38.png
堡垒协议扩充,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,900,1.45x,1x1,是,IS2,傀影与猩红孤钻,039,36,商店和战斗掉落的重装招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名重装干员胜利一场战斗,,否,是,,rogue_1_relic_r39,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r39.png
堡垒协议增援,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,1000,1.45x,1x1,是,IS2,傀影与猩红孤钻,040,37,商店和战斗掉落的辅助招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名辅助干员胜利一场战斗,,否,是,,rogue_1_relic_r40,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r40.png
远程协议扩充,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,1000,1.45x,1x1,是,IS2,傀影与猩红孤钻,041,38,商店和战斗掉落的医疗招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于3名医疗干员胜利一场战斗,,否,是,,rogue_1_relic_r41,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r41.png
远程协议增援,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,900,1.45x,1x1,是,IS2,傀影与猩红孤钻,042,39,商店和战斗掉落的狙击招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名狙击干员胜利一场战斗,,否,是,,rogue_1_relic_r42,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r42.png
破坏协议扩充,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,1000,1.45x,1x1,是,IS2,傀影与猩红孤钻,043,40,商店和战斗掉落的术师招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名术师干员胜利一场战斗,,否,是,,rogue_1_relic_r43,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r43.png
破坏协议增援,是,收集品,招募/进阶（当前系统无对应）,NORMAL,普通,1000,1.45x,1x1,是,IS2,傀影与猩红孤钻,044,41,商店和战斗掉落的特种招募券都被升级成高级人事调度函,,单一的干员组成难以在前线战斗中取得优势，通过协议补充战力也是有效的手段。,携带不小于4名特种干员胜利一场战斗,,否,是,,rogue_1_relic_r44,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_1/rogue_1_relic_r44.png
熏黑的信号灯,是,收集品,招募/进阶（当前系统无对应）,NORMAL,稀有,3900,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,42,42,战斗后有15%的几率额外掉落一张招募券（不叠加）,,这是大部分雷姆必拓工人在荒野的夜色中传递信息的唯一方式。,,,否,是,,relic_42,
老式电报机,是,收集品,招募/进阶（当前系统无对应）,RARE,珍贵,12400,1.80x,2x2,否,IS1,刻俄柏的灰蕈迷境,43,43,战斗后有25%的几率额外掉落一张招募券（不叠加）,,一台老式电报机，全套设备体积庞大且笨重。,,,否,是,,relic_43,
无线通讯器,是,收集品,招募/进阶（当前系统无对应）,SUPER_RARE,绝世,23000,2.00x,2x2,否,IS1,刻俄柏的灰蕈迷境,44,44,战斗后有35%的几率额外掉落一张招募券（不叠加）,,通过源石供能的野外远程通讯装置，侦察干员提醒，这类设备造价昂贵，工艺繁复，请爱护。,,23,否,是,,relic_44,
幸运硬币,是,收集品,战斗节点流程（当前系统无对应）,RARE,稀有,2500,1.60x,1x1,否,IS5,萨卡兹的无终奇语,024,45,每进入一个非战斗节点，源石锭+2,,在罗德岛捡到的硬币，捡到一枚就能捡到很多枚。,,,否,是,,rogue_4_relic_legacy_176,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_4/rogue_4_relic_legacy_176.png
手绘雪雉传单,是,收集品,战斗节点流程（当前系统无对应）,RARE,稀有,3800,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,46,46,每进入一个非战斗节点，获得源石锭+3,,能不能有谁来请她吃顿饭？她饿了两天了。我说你直接去食堂就好了又不会不发口粮给你......,在多局游戏中累计进入100次非战斗格,,否,是,,relic_46,
真理的书单,是,收集品,无可直接映射的现有战斗效果,NORMAL,稀有,4600,1.60x,2x1,否,IS1,刻俄柏的灰蕈迷境,47,47,战斗获得的经验值+20%,,只是真理罗列的书。没法让你了解什么深奥的知识，但也许能教会你怎么做她喜欢吃的点心。,在多局游戏中累计胜利10场战斗,,否,是,,relic_47,
教官的爱鞭,是,收集品,无可直接映射的现有战斗效果,RARE,珍贵,9200,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,48,48,战斗获得的经验值+30%,,罗德岛的教官们一定都要用这种武器吗？！,在多局游戏中累计胜利50场战斗,,否,是,,relic_48,
咪波·运输型,是,收集品,部署系统（当前系统无对应）,NORMAL,普通,1700,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,49,49,初始部署费用+10,,“大咪波碑”上挤满了它同胞的代号。它没有悲喜。它只想工作。,,,否,是,,relic_49,
萨卡兹监工哨子,是,收集品,部署系统（当前系统无对应）,RARE,珍贵,7800,1.80x,1x1,否,IS1,刻俄柏的灰蕈迷境,50,50,初始部署费用+20,,被某个萨卡兹佣兵偷走的哨子，原本属于一个萨卡兹工头。他们自己吹的时候也要捂上耳朵。,,,否,是,,relic_50,
忧伤的驮兽,是,收集品,部署系统（当前系统无对应）,SUPER_RARE,珍贵,8900,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,51,51,初始部署费用+30,,你看到了一头忧伤的驮兽，不知为何，你也忧伤了起来。,通过第二层【蜜饼山脉】,,否,是,,relic_51,
奇怪的$墨镜,是,收集品,局内货币（改为卖钱物）,RARE,珍贵,9500,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,52,52,商店中购买道具所需源石锭-50%,,戴上它，你会感到整个哥伦比亚音乐界的资本都在为你旋转。,在多局游戏中累计在商店消费200源石锭,,否,是,,relic_52,
破片地雷,是,收集品,目标生命资源（当前系统无对应）,RARE,稀有,3800,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,53,53,每场战斗获得1点临时目标生命值,,罗德岛上埋设好的破片地雷有两种既定作用，具体是哪种取决于设置它的人是谁。不·准·在·走·道·上·架·设·爆·炸·物。,在多局游戏中累计损失50点目标生命,,否,是,,relic_53,
《防身手册》,是,收集品,目标生命资源（当前系统无对应）,RARE,稀有,4300,1.60x,2x1,否,IS1,刻俄柏的灰蕈迷境,54,54,每场战斗获得2点临时目标生命值,,全名是《拉特兰周边他国城邦及中间地带出行防身手册》，看的来，学不来。,在多局游戏中累计损失125点目标生命,,否,是,,relic_54,
芙蓉的健康餐,是,收集品,敌人属性效果当前未接入（生命值除外）,NORMAL,普通,1700,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,55,55,所有敌方单位的攻击力-7%,,身体健康但是心理不太健康，只吃这样的东西就没心思作战了。,,,否,是,,relic_55,
牧兽的排泄物,是,收集品,敌人属性效果当前未接入（生命值除外）,NORMAL,普通,1700,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,56,56,所有敌方单位的攻击力-9%,,这种东西可以削减敌人的士气。救命……,选择【指挥分队】完成游戏结局,,否,是,,relic_56,
奇渊面具,是,收集品,敌人属性效果当前未接入（生命值除外）,RARE,稀有,3200,1.60x,1x1,是,IS5,萨卡兹的无终奇语,068,57,所有敌方单位的攻击力-12%,,不属于所知的任何一个文化的古怪面具，会让人丧失战意......并不自觉地陷入长久的沉思。,,,否,是,,rogue_4_relic_legacy_60,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_4/rogue_4_relic_legacy_60.png
教母的信物,是,收集品,敌人属性效果当前未接入（生命值除外）,SUPER_RARE,珍贵,7300,1.80x,1x1,是,IS6,岁的界园志异,256,58,所有敌方单位的攻击力-17%,,骨质的桂冠，西西里夫人的信物。秩序的象征将铲平起伏的欲望，斗争不被允许。无论真假，跪下。,,,否,是,,rogue_5_relic_return_12,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_5/rogue_5_relic_return_12.png
锉刀,是,收集品,敌人属性效果当前未接入（生命值除外）,NORMAL,普通,2000,1.45x,1x2,否,IS1,刻俄柏的灰蕈迷境,59,59,所有敌方单位的防御力-12%,,偷偷把敌人的装备撬松。,,,否,是,,relic_59,
废铁陷阱,是,收集品,敌人属性效果当前未接入（生命值除外）,NORMAL,稀有,3900,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,60,60,所有敌方单位的防御力-15%,,泰拉荒野上名为“锈锤”的暴力组织经常使用的陷阱。“我们杀人，也杀动物。”,选择【集群分队】完成游戏结局,,否,是,,relic_60,
酸液源石虫,是,收集品,敌人属性效果当前未接入（生命值除外）,RARE,珍贵,8500,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,61,61,所有敌方单位的防御力-21%,,战场冷知识：体型较小或幼年期的酸液源石虫可以用作杀伤性投掷物。不要......！,,,否,是,,relic_61,
迷迭香之拥,是,收集品,敌人属性效果当前未接入（生命值除外）,SUPER_RARE,珍贵,8600,1.80x,1x1,是,IS7,沉沦者的黑流树海,075,62,所有敌方单位的生命-15%，防御力-30%,,“谁来审判？”,,,否,是,,rogue_6_relic_legacy_86,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_86.png
无名诗集,是,收集品,无可直接映射的现有战斗效果,NORMAL,普通,1800,1.45x,1x1,否,IS1,刻俄柏的灰蕈迷境,63,63,所有敌方单位的生命-10%,,“酒杯的碎屑在我皮肉里欢唱，鲜血自指缝间攀上脊索。饮下尖锐的晶莹光彩，脏腑随之璨烂流落。”,,,否,是,,relic_63,
劣化组织,是,收集品,无可直接映射的现有战斗效果,NORMAL,普通,1800,1.45x,1x1,是,IS1,刻俄柏的灰蕈迷境,64,64,所有敌方单位的生命-12%,,在萨米以北的无尽冰原中找寻到的，十分古老的质密结缔组织。此项目立刻终止。立刻。,选择【后勤分队】完成游戏结局,,否,是,,relic_64,
“黑夜呢喃”,是,收集品,无可直接映射的现有战斗效果,RARE,稀有,3300,1.60x,1x1,是,IS7,沉沦者的黑流树海,076,65,所有敌方单位的生命-15%,,一张黑色唱片。不。准。碰。它。,,,否,是,,rogue_6_relic_legacy_87,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_87.png
《大静谧》,是,收集品,无可直接映射的现有战斗效果,SUPER_RARE,珍贵,8800,1.80x,2x1,否,IS7,沉沦者的黑流树海,077,66,所有敌方单位的生命-30%,,描绘伊比利亚史上最大灾难的画作，笔触毫无意义，色彩毫无意义，意象毫无意义。“阿戈尔知道，阿戈尔知道，阿戈尔知道。”,,,否,是,,rogue_6_relic_legacy_88,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_88.png
小号黄色安全帽,是,收集品,战斗效果当前未接入，避免新增系统,NORMAL,稀有,3900,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,67,67,所有我方单位的防御力+15%,,这个黄色的聚合物安全帽在后脑勺处写着“安全生产”的字样。是给后面的人看的......？,,,否,是,,relic_67,
战壕沙袋,是,收集品,战斗效果当前未接入，避免新增系统,NORMAL,稀有,4000,1.60x,1x1,是,IS1,刻俄柏的灰蕈迷境,68,68,所有我方单位的防御力+18%,,能够快速搭建起临时的防御工事。只是临时的。,选择【矛头分队】完成游戏结局,,否,是,,relic_68,
防割断纤维背心,是,收集品,战斗效果当前未接入，避免新增系统,RARE,珍贵,8800,1.80x,1x1,是,IS1,刻俄柏的灰蕈迷境,69,69,所有我方单位的防御力+25%,,维多利亚骑警配发的基本防具，很重。不知为什么，讯使说他在谢拉格似乎也见过类似的装备......,,,否,是,,relic_69,
古旧的蒸汽甲胄,是,收集品,战斗效果当前未接入，避免新增系统,SUPER_RARE,珍贵,9000,1.80x,1x1,是,IS7,沉沦者的黑流树海,049,70,所有我方单位的防御力+50%,,哪怕是这种旧型号的蒸汽甲胄，也仿佛承载着维多利亚君主们照耀着半片大地的荣耀辉光。,选择【地面突破分队】完成游戏结局,,否,是,,rogue_6_relic_legacy_14,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_14.png
《打架手册》,是,藏品,现有战斗系统可映射：攻击力→输出伤害,NORMAL,稀有,4700,1.00x,2x1,否,IS1,刻俄柏的灰蕈迷境,71,71,所有我方近战单位的攻击力+15%,所有我方近战单位的攻击力+15%,记载了大量乌萨斯人的战吼，非常有气势。,,,否,是,,relic_71,
《独臂电锯》,是,藏品,现有战斗系统可映射：攻击力→输出伤害,NORMAL,稀有,4200,1.00x,1x1,是,IS1,刻俄柏的灰蕈迷境,72,72,所有我方近战单位的攻击力+18%,所有我方近战单位的攻击力+18%,一本炎国武侠小说，讲述了独臂电锯客的复仇故事。似乎有十几部后续作品。,在源石锭恰好等于0时通过第三层【千条道路】,,否,是,,relic_72,
齿轮式外骨骼,是,藏品,现有战斗系统可映射：攻击力→输出伤害,RARE,珍贵,13300,1.00x,2x2,否,IS1,刻俄柏的灰蕈迷境,73,73,所有我方近战单位的攻击力+25%,所有我方近战单位的攻击力+25%,这种工业助力外骨骼装置可以让装备者省时省力干活……或者干点其他什么事情。他们没考虑过动力的事吗？,,,否,是,,relic_73,
锈蚀银枪,是,藏品,现有战斗系统可映射：攻击力→输出伤害,SUPER_RARE,绝世,20400,1.00x,1x2,否,IS1,刻俄柏的灰蕈迷境,74,74,所有我方近战单位的攻击力+35%,所有我方近战单位的攻击力+35%,枪能刺穿群峦与湖泊，奔踏的响动能让浮云流散。烟火与广告让所有人都忘记了，他们依然还在。他们现身。,,,否,是,,relic_74,
液压气瓶,是,藏品,现有战斗系统可映射：攻击力→输出伤害,NORMAL,稀有,4700,1.00x,1x2,否,IS1,刻俄柏的灰蕈迷境,75,75,所有我方远程单位的攻击力+15%,所有我方远程单位的攻击力+15%,压缩了惰性气体的压力容器。一定要注意压力计的读数是否正常。,,,否,是,,relic_75,
超弹力合金弹簧,是,藏品,现有战斗系统可映射：攻击力→输出伤害,NORMAL,稀有,4200,1.00x,1x1,是,IS1,刻俄柏的灰蕈迷境,76,76,所有我方远程单位的攻击力+18%,所有我方远程单位的攻击力+18%,有着一般弹簧数倍弹力的高质量弹簧，不论是用在哪，小心，别伤到自己。,在不损失目标生命的情况下胜利战斗【锈锤之战】,,否,是,,relic_76,
损坏的左轮弹巢,是,藏品,现有战斗系统可映射：攻击力→输出伤害,SUPER_RARE,珍贵,9900,1.00x,1x2,否,IS7,沉沦者的黑流树海,055,77,所有我方远程单位的攻击力+35%,所有我方远程单位的攻击力+35%,她行过刀山火海也不曾有一刻向奸邪低头，她枪口火舌焦灼好似怒阳，她头顶光芒炽烈几胜白昼。此处安葬着Outcast，我们的朋友。,选择【高台突破分队】完成游戏结局,,否,是,,rogue_6_relic_legacy_20,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_20.png
显圣吊坠,是,藏品,现有战斗系统可映射：攻击力→输出伤害,NORMAL,普通,1700,1.00x,1x1,否,IS7,沉沦者的黑流树海,053,78,所有我方远程单位的攻击力+15%,所有我方远程单位的攻击力+15%,信仰悬在你的心口上方十公分处，语言流入你的血液，子弹滑进你的弹仓。,,,否,是,,rogue_6_relic_legacy_18,../../Assets/_Game/Resources/RogueRelics/Icons/rogue_6/rogue_6_relic_legacy_18.png
